class, NOCom, NCLOC, DCP
./src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,4,68,65.66
./src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,6,77,58.6
./src/main/java/org/jfree/chart/annotations/Annotation.java,5,7,87.72
./src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,4,10,83.33
./src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,12,198,49.23
./src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,12,238,50.42
./src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,8,123,50
./src/main/java/org/jfree/chart/annotations/TextAnnotation.java,11,137,56.37
./src/main/java/org/jfree/chart/annotations/XYAnnotation.java,4,11,82.81
./src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,5,7,89.06
./src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,10,176,48.54
./src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,10,159,52.54
./src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,12,143,47.04
./src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,12,134,50.74
./src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,13,180,45.62
./src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,12,252,48.99
./src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,13,171,46.73
./src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,11,152,44.12
./src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,14,282,51.63
./src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,15,212,40.95
./src/main/java/org/jfree/chart/api/HorizontalAlignment.java,2,6,87.5
./src/main/java/org/jfree/chart/api/Layer.java,2,5,86.49
./src/main/java/org/jfree/chart/api/LengthAdjustmentType.java,2,6,87.23
./src/main/java/org/jfree/chart/api/PublicCloneable.java,2,5,90.57
./src/main/java/org/jfree/chart/api/RectangleAlignment.java,2,80,37.5
./src/main/java/org/jfree/chart/api/RectangleAnchor.java,3,95,37.5
./src/main/java/org/jfree/chart/api/RectangleEdge.java,2,42,60.75
./src/main/java/org/jfree/chart/api/RectangleInsets.java,5,245,49.28
./src/main/java/org/jfree/chart/api/Rotation.java,2,12,82.09
./src/main/java/org/jfree/chart/api/SortOrder.java,2,5,88.64
./src/main/java/org/jfree/chart/api/TableOrder.java,2,5,88.64
./src/main/java/org/jfree/chart/api/UnitType.java,2,5,88.64
./src/main/java/org/jfree/chart/api/VerticalAlignment.java,2,6,87.5
./src/main/java/org/jfree/chart/api/XYCoordinateType.java,3,6,88.68
./src/main/java/org/jfree/chart/axis/Axis.java,15,789,48.63
./src/main/java/org/jfree/chart/axis/AxisCollection.java,8,49,61.42
./src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,5,6,87.23
./src/main/java/org/jfree/chart/axis/AxisLocation.java,9,26,67.9
./src/main/java/org/jfree/chart/axis/AxisSpace.java,7,189,44.74
./src/main/java/org/jfree/chart/axis/AxisState.java,7,66,62.29
./src/main/java/org/jfree/chart/axis/CategoryAnchor.java,6,6,87.5
./src/main/java/org/jfree/chart/axis/CategoryAxis.java,16,726,43.98
./src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java,8,99,56.77
./src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,8,217,40.71
./src/main/java/org/jfree/chart/axis/CategoryLabelWidthType.java,7,5,88.89
./src/main/java/org/jfree/chart/axis/CategoryTick.java,6,55,58.33
./src/main/java/org/jfree/chart/axis/CompassFormat.java,5,48,65.71
./src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,11,653,37.69
./src/main/java/org/jfree/chart/axis/DateAxis.java,17,1063,36.35
./src/main/java/org/jfree/chart/axis/DateTick.java,8,42,65
./src/main/java/org/jfree/chart/axis/DateTickMarkPosition.java,5,6,88.68
./src/main/java/org/jfree/chart/axis/DateTickUnit.java,9,140,55.84
./src/main/java/org/jfree/chart/axis/DateTickUnitType.java,4,18,75.68
./src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java,8,106,53.91
./src/main/java/org/jfree/chart/axis/LogarithmicAxis.java,7,561,41.01
./src/main/java/org/jfree/chart/axis/LogAxis.java,12,565,41.45
./src/main/java/org/jfree/chart/axis/LogTick.java,4,14,80.56
./src/main/java/org/jfree/chart/axis/MarkerAxisBand.java,9,133,45.04
./src/main/java/org/jfree/chart/axis/ModuloAxis.java,6,215,45.98
./src/main/java/org/jfree/chart/axis/MonthDateFormat.java,5,98,57.39
./src/main/java/org/jfree/chart/axis/NumberAxis.java,10,597,41.7
./src/main/java/org/jfree/chart/axis/NumberTick.java,6,19,77.38
./src/main/java/org/jfree/chart/axis/NumberTickUnit.java,6,55,60.43
./src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,6,157,26.64
./src/main/java/org/jfree/chart/axis/PeriodAxis.java,14,670,38.98
./src/main/java/org/jfree/chart/axis/PeriodAxisLabelInfo.java,9,158,50.63
./src/main/java/org/jfree/chart/axis/QuarterDateFormat.java,5,81,54.24
./src/main/java/org/jfree/chart/axis/StandardTickUnitSource.java,3,39,67.23
./src/main/java/org/jfree/chart/axis/SubCategoryAxis.java,11,233,41.31
./src/main/java/org/jfree/chart/axis/SymbolAxis.java,11,423,37.89
./src/main/java/org/jfree/chart/axis/Tick.java,7,65,58.6
./src/main/java/org/jfree/chart/axis/TickType.java,4,5,88.89
./src/main/java/org/jfree/chart/axis/TickUnit.java,4,64,61.68
./src/main/java/org/jfree/chart/axis/TickUnits.java,2,72,63.08
./src/main/java/org/jfree/chart/axis/TickUnitSource.java,4,6,91.89
./src/main/java/org/jfree/chart/axis/Timeline.java,4,11,91.73
./src/main/java/org/jfree/chart/axis/ValueAxis.java,14,767,49.64
./src/main/java/org/jfree/chart/axis/ValueTick.java,6,42,65.85
./src/main/java/org/jfree/chart/block/AbstractBlock.java,13,259,55.73
./src/main/java/org/jfree/chart/block/Arrangement.java,5,7,89.71
./src/main/java/org/jfree/chart/block/Block.java,6,13,87.13
./src/main/java/org/jfree/chart/block/BlockBorder.java,9,101,52.8
./src/main/java/org/jfree/chart/block/BlockContainer.java,10,126,50.39
./src/main/java/org/jfree/chart/block/BlockFrame.java,7,9,85
./src/main/java/org/jfree/chart/block/BlockParams.java,2,30,76
./src/main/java/org/jfree/chart/block/BlockResult.java,2,15,79.17
./src/main/java/org/jfree/chart/block/BorderArrangement.java,6,382,25.24
./src/main/java/org/jfree/chart/block/CenterArrangement.java,5,140,53.33
./src/main/java/org/jfree/chart/block/ColorBlock.java,7,72,58.86
./src/main/java/org/jfree/chart/block/ColumnArrangement.java,6,208,41.57
./src/main/java/org/jfree/chart/block/EmptyBlock.java,5,33,70.27
./src/main/java/org/jfree/chart/block/EntityBlockParams.java,3,4,92.59
./src/main/java/org/jfree/chart/block/EntityBlockResult.java,3,5,90.57
./src/main/java/org/jfree/chart/block/FlowArrangement.java,7,234,43.07
./src/main/java/org/jfree/chart/block/GridArrangement.java,7,242,40.69
./src/main/java/org/jfree/chart/block/LabelBlock.java,14,179,53.26
./src/main/java/org/jfree/chart/block/LengthConstraintType.java,5,6,88.46
./src/main/java/org/jfree/chart/block/LineBorder.java,11,118,44.86
./src/main/java/org/jfree/chart/block/RectangleConstraint.java,7,149,53.44
./src/main/java/org/jfree/chart/block/Size2D.java,2,59,60.4
./src/main/java/org/jfree/chart/ChartColor.java,3,70,53.02
./src/main/java/org/jfree/chart/ChartElement.java,2,4,91.67
./src/main/java/org/jfree/chart/ChartElementVisitor.java,2,4,91.49
./src/main/java/org/jfree/chart/ChartFactory.java,22,1000,46.52
./src/main/java/org/jfree/chart/ChartHints.java,4,25,73.12
./src/main/java/org/jfree/chart/ChartRenderingInfo.java,7,97,58.01
./src/main/java/org/jfree/chart/ChartTheme.java,5,4,92.16
./src/main/java/org/jfree/chart/ChartTransferable.java,7,102,55.84
./src/main/java/org/jfree/chart/ChartUtils.java,10,235,62.7
./src/main/java/org/jfree/chart/date/MonthConstants.java,5,15,76.92
./src/main/java/org/jfree/chart/date/SerialDate.java,8,355,58.53
./src/main/java/org/jfree/chart/date/SpreadsheetDate.java,6,175,56.79
./src/main/java/org/jfree/chart/Drawable.java,2,6,86.05
./src/main/java/org/jfree/chart/encoders/EncoderUtil.java,2,53,70.22
./src/main/java/org/jfree/chart/encoders/ImageEncoder.java,3,13,86.32
./src/main/java/org/jfree/chart/encoders/ImageEncoderFactory.java,4,52,63.64
./src/main/java/org/jfree/chart/encoders/ImageFormat.java,3,6,88.46
./src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,5,59,62.18
./src/main/java/org/jfree/chart/encoders/SunPNGEncoderAdapter.java,4,36,69.23
./src/main/java/org/jfree/chart/entity/AxisEntity.java,10,79,58.64
./src/main/java/org/jfree/chart/entity/CategoryItemEntity.java,11,65,62.86
./src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java,8,45,61.54
./src/main/java/org/jfree/chart/entity/ChartEntity.java,9,181,51.21
./src/main/java/org/jfree/chart/entity/EntityCollection.java,5,13,86.32
./src/main/java/org/jfree/chart/entity/FlowEntity.java,2,38,63.46
./src/main/java/org/jfree/chart/entity/JFreeChartEntity.java,10,79,58.42
./src/main/java/org/jfree/chart/entity/LegendItemEntity.java,7,56,63.64
./src/main/java/org/jfree/chart/entity/NodeEntity.java,2,23,73.86
./src/main/java/org/jfree/chart/entity/PieSectionEntity.java,7,81,61.61
./src/main/java/org/jfree/chart/entity/PlotEntity.java,10,79,58.42
./src/main/java/org/jfree/chart/entity/StandardEntityCollection.java,8,86,54.74
./src/main/java/org/jfree/chart/entity/TickLabelEntity.java,3,10,82.46
./src/main/java/org/jfree/chart/entity/TitleEntity.java,10,79,58.42
./src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,3,35,65.35
./src/main/java/org/jfree/chart/entity/XYItemEntity.java,3,56,63.4
./src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,7,14,78.79
./src/main/java/org/jfree/chart/event/AnnotationChangeListener.java,5,6,88
./src/main/java/org/jfree/chart/event/AxisChangeEvent.java,3,12,80.65
./src/main/java/org/jfree/chart/event/AxisChangeListener.java,4,5,90.91
./src/main/java/org/jfree/chart/event/ChartChangeEvent.java,4,34,70.43
./src/main/java/org/jfree/chart/event/ChartChangeEventType.java,6,6,87.23
./src/main/java/org/jfree/chart/event/ChartChangeListener.java,5,5,90.38
./src/main/java/org/jfree/chart/event/ChartProgressEvent.java,4,35,69.57
./src/main/java/org/jfree/chart/event/ChartProgressEventType.java,3,5,88.89
./src/main/java/org/jfree/chart/event/ChartProgressListener.java,4,5,89.8
./src/main/java/org/jfree/chart/event/MarkerChangeEvent.java,5,12,80.95
./src/main/java/org/jfree/chart/event/MarkerChangeListener.java,5,6,88
./src/main/java/org/jfree/chart/event/PlotChangeEvent.java,3,12,81.25
./src/main/java/org/jfree/chart/event/PlotChangeListener.java,4,5,90
./src/main/java/org/jfree/chart/event/RendererChangeEvent.java,5,19,78.16
./src/main/java/org/jfree/chart/event/RendererChangeListener.java,4,5,89.8
./src/main/java/org/jfree/chart/event/TitleChangeEvent.java,3,12,80.33
./src/main/java/org/jfree/chart/event/TitleChangeListener.java,4,5,90
./src/main/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,3,20,76.74
./src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,6,123,48.54
./src/main/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator.java,3,13,81.16
./src/main/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,3,12,81.54
./src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,2,11,83.33
./src/main/java/org/jfree/chart/imagemap/ToolTipTagFragmentGenerator.java,4,4,93.44
./src/main/java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,4,8,87.1
./src/main/java/org/jfree/chart/internal/Args.java,3,34,70.18
./src/main/java/org/jfree/chart/internal/ArrayUtils.java,2,106,43.62
./src/main/java/org/jfree/chart/internal/CloneUtils.java,6,89,48.85
./src/main/java/org/jfree/chart/internal/HashUtils.java,7,65,66.15
./src/main/java/org/jfree/chart/internal/LineUtils.java,3,84,44.37
./src/main/java/org/jfree/chart/internal/PaintUtils.java,3,117,41.79
./src/main/java/org/jfree/chart/internal/SerialUtils.java,4,418,34.07
./src/main/java/org/jfree/chart/internal/ShapeUtils.java,5,262,46.42
./src/main/java/org/jfree/chart/JFreeChart.java,24,780,48.14
./src/main/java/org/jfree/chart/labels/AbstractCategoryItemLabelGenerator.java,12,135,52.8
./src/main/java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,7,103,51.64
./src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java,10,155,50.79
./src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,5,52,60.9
./src/main/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,3,57,59.86
./src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,9,115,52.48
./src/main/java/org/jfree/chart/labels/CategoryItemLabelGenerator.java,6,7,90.91
./src/main/java/org/jfree/chart/labels/CategorySeriesLabelGenerator.java,5,5,91.07
./src/main/java/org/jfree/chart/labels/CategoryToolTipGenerator.java,5,5,91.8
./src/main/java/org/jfree/chart/labels/CrosshairLabelGenerator.java,5,5,90
./src/main/java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,5,77,54.44
./src/main/java/org/jfree/chart/labels/FlowLabelGenerator.java,2,6,88.89
./src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,6,106,46.46
./src/main/java/org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java,6,54,55.74
./src/main/java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,4,64,54.61
./src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java,6,128,48.18
./src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,6,124,48.97
./src/main/java/org/jfree/chart/labels/ItemLabelAnchor.java,7,28,69.57
./src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,9,76,55.29
./src/main/java/org/jfree/chart/labels/MultipleXYSeriesLabelGenerator.java,10,112,47.17
./src/main/java/org/jfree/chart/labels/PieSectionLabelGenerator.java,6,11,87.06
./src/main/java/org/jfree/chart/labels/PieToolTipGenerator.java,4,5,90.74
./src/main/java/org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java,6,47,64.66
./src/main/java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,8,57,60.42
./src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,3,43,63.87
./src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,5,57,58.39
./src/main/java/org/jfree/chart/labels/StandardFlowLabelGenerator.java,2,47,59.13
./src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,7,85,63.04
./src/main/java/org/jfree/chart/labels/StandardPieToolTipGenerator.java,8,37,71.32
./src/main/java/org/jfree/chart/labels/StandardXYItemLabelGenerator.java,6,58,66.47
./src/main/java/org/jfree/chart/labels/StandardXYSeriesLabelGenerator.java,9,58,61.59
./src/main/java/org/jfree/chart/labels/StandardXYToolTipGenerator.java,6,59,66.09
./src/main/java/org/jfree/chart/labels/StandardXYZToolTipGenerator.java,7,109,52.81
./src/main/java/org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java,5,70,55.13
./src/main/java/org/jfree/chart/labels/XYItemLabelGenerator.java,4,5,90.74
./src/main/java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,5,5,91.23
./src/main/java/org/jfree/chart/labels/XYToolTipGenerator.java,4,5,90.57
./src/main/java/org/jfree/chart/labels/XYZToolTipGenerator.java,4,5,90.57
./src/main/java/org/jfree/chart/legend/LegendGraphic.java,8,334,51.1
./src/main/java/org/jfree/chart/legend/LegendItem.java,6,468,52.39
./src/main/java/org/jfree/chart/legend/LegendItemBlockContainer.java,3,69,59.41
./src/main/java/org/jfree/chart/legend/LegendItemCollection.java,3,56,60.56
./src/main/java/org/jfree/chart/legend/LegendItemSource.java,2,5,90
./src/main/java/org/jfree/chart/legend/LegendRenderingOrder.java,2,5,88.89
./src/main/java/org/jfree/chart/legend/LegendTitle.java,7,347,43.76
./src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,5,392,40.79
./src/main/java/org/jfree/chart/plot/CategoryCrosshairState.java,4,64,59.24
./src/main/java/org/jfree/chart/plot/CategoryMarker.java,7,69,60.34
./src/main/java/org/jfree/chart/plot/CategoryPlot.java,32,2415,46.61
./src/main/java/org/jfree/chart/plot/CenterTextMode.java,3,6,87.23
./src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,14,358,41.6
./src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,15,396,42.69
./src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,12,307,40.39
./src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,16,371,42.57
./src/main/java/org/jfree/chart/plot/compass/ArrowNeedle.java,2,78,50
./src/main/java/org/jfree/chart/plot/compass/CompassPlot.java,5,438,43.56
./src/main/java/org/jfree/chart/plot/compass/LineNeedle.java,2,41,62.73
./src/main/java/org/jfree/chart/plot/compass/LongNeedle.java,2,87,45.96
./src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,3,178,52.66
./src/main/java/org/jfree/chart/plot/compass/MiddlePinNeedle.java,3,61,53.79
./src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,3,59,54.62
./src/main/java/org/jfree/chart/plot/compass/PlumNeedle.java,2,51,57.5
./src/main/java/org/jfree/chart/plot/compass/PointerNeedle.java,2,70,50
./src/main/java/org/jfree/chart/plot/compass/ShipNeedle.java,2,49,58.82
./src/main/java/org/jfree/chart/plot/compass/WindNeedle.java,2,45,58.72
./src/main/java/org/jfree/chart/plot/Crosshair.java,16,298,55.79
./src/main/java/org/jfree/chart/plot/CrosshairState.java,7,109,66.36
./src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,5,5,91.67
./src/main/java/org/jfree/chart/plot/DefaultDrawingSupplier.java,8,276,40.39
./src/main/java/org/jfree/chart/plot/dial/AbstractDialLayer.java,6,74,61.66
./src/main/java/org/jfree/chart/plot/dial/ArcDialFrame.java,10,228,51.18
./src/main/java/org/jfree/chart/plot/dial/DialBackground.java,11,100,58.68
./src/main/java/org/jfree/chart/plot/dial/DialCap.java,10,131,57.05
./src/main/java/org/jfree/chart/plot/dial/DialFrame.java,4,7,88.14
./src/main/java/org/jfree/chart/plot/dial/DialLayer.java,4,14,86.27
./src/main/java/org/jfree/chart/plot/dial/DialLayerChangeEvent.java,3,12,80.65
./src/main/java/org/jfree/chart/plot/dial/DialLayerChangeListener.java,4,5,90.2
./src/main/java/org/jfree/chart/plot/dial/DialPlot.java,16,373,50.4
./src/main/java/org/jfree/chart/plot/dial/DialPointer.java,10,279,50.36
./src/main/java/org/jfree/chart/plot/dial/DialScale.java,4,5,92.06
./src/main/java/org/jfree/chart/plot/dial/DialTextAnnotation.java,12,159,55.96
./src/main/java/org/jfree/chart/plot/dial/DialValueIndicator.java,16,327,52.61
./src/main/java/org/jfree/chart/plot/dial/StandardDialFrame.java,10,149,53.73
./src/main/java/org/jfree/chart/plot/dial/StandardDialRange.java,10,181,53.71
./src/main/java/org/jfree/chart/plot/dial/StandardDialScale.java,11,417,54.58
./src/main/java/org/jfree/chart/plot/DialShape.java,6,6,87.5
./src/main/java/org/jfree/chart/plot/DrawingSupplier.java,5,12,86.36
./src/main/java/org/jfree/chart/plot/FastScatterPlot.java,15,507,47.95
./src/main/java/org/jfree/chart/plot/flow/FlowPlot.java,3,455,39.74
./src/main/java/org/jfree/chart/plot/IntervalMarker.java,8,82,58.38
./src/main/java/org/jfree/chart/plot/Marker.java,13,268,55.56
./src/main/java/org/jfree/chart/plot/MeterInterval.java,9,89,55.05
./src/main/java/org/jfree/chart/plot/MeterPlot.java,19,643,44.71
./src/main/java/org/jfree/chart/plot/Pannable.java,4,11,86.25
./src/main/java/org/jfree/chart/plot/pie/AbstractPieLabelDistributor.java,2,24,75
./src/main/java/org/jfree/chart/plot/pie/MultiplePiePlot.java,5,355,38.15
./src/main/java/org/jfree/chart/plot/pie/PieLabelDistributor.java,2,106,46.46
./src/main/java/org/jfree/chart/plot/pie/PieLabelLinkStyle.java,2,6,87.5
./src/main/java/org/jfree/chart/plot/pie/PieLabelRecord.java,2,114,54.94
./src/main/java/org/jfree/chart/plot/pie/PiePlot.java,6,1547,47.04
./src/main/java/org/jfree/chart/plot/pie/PiePlotState.java,2,81,66.11
./src/main/java/org/jfree/chart/plot/Plot.java,22,656,50.27
./src/main/java/org/jfree/chart/plot/PlotOrientation.java,4,11,83.08
./src/main/java/org/jfree/chart/plot/PlotRenderingInfo.java,11,117,55.68
./src/main/java/org/jfree/chart/plot/PlotState.java,4,14,77.05
./src/main/java/org/jfree/chart/plot/PolarAxisLocation.java,6,11,82.26
./src/main/java/org/jfree/chart/plot/PolarPlot.java,27,988,46.33
./src/main/java/org/jfree/chart/plot/RingPlot.java,22,331,47.46
./src/main/java/org/jfree/chart/plot/SeriesRenderingOrder.java,5,5,91.38
./src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,24,677,47.15
./src/main/java/org/jfree/chart/plot/ThermometerPlot.java,20,764,47.09
./src/main/java/org/jfree/chart/plot/ValueAxisPlot.java,4,6,88.68
./src/main/java/org/jfree/chart/plot/ValueMarker.java,4,43,68.15
./src/main/java/org/jfree/chart/plot/WaferMapPlot.java,10,237,39.07
./src/main/java/org/jfree/chart/plot/XYCrosshairState.java,2,6,88.46
./src/main/java/org/jfree/chart/plot/XYPlot.java,31,2732,45.15
./src/main/java/org/jfree/chart/plot/Zoomable.java,6,18,88.08
./src/main/java/org/jfree/chart/renderer/AbstractRenderer.java,30,1235,55.48
./src/main/java/org/jfree/chart/renderer/AreaRendererEndType.java,4,6,89.66
./src/main/java/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,28,925,40.01
./src/main/java/org/jfree/chart/renderer/category/AreaRenderer.java,10,192,35.79
./src/main/java/org/jfree/chart/renderer/category/BarPainter.java,7,11,86.9
./src/main/java/org/jfree/chart/renderer/category/BarRenderer.java,16,683,43.08
./src/main/java/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java,16,596,41.11
./src/main/java/org/jfree/chart/renderer/category/CategoryItemRenderer.java,16,170,88.19
./src/main/java/org/jfree/chart/renderer/category/CategoryItemRendererState.java,3,64,65.59
./src/main/java/org/jfree/chart/renderer/category/CategoryStepRenderer.java,8,174,46.3
./src/main/java/org/jfree/chart/renderer/category/DefaultCategoryItemRenderer.java,2,7,86.54
./src/main/java/org/jfree/chart/renderer/category/GanttRenderer.java,12,351,36.76
./src/main/java/org/jfree/chart/renderer/category/GradientBarPainter.java,7,215,36.76
./src/main/java/org/jfree/chart/renderer/category/GroupedStackedBarRenderer.java,9,218,34.34
./src/main/java/org/jfree/chart/renderer/category/IntervalBarRenderer.java,6,117,46.82
./src/main/java/org/jfree/chart/renderer/category/LayeredBarRenderer.java,12,291,32.01
./src/main/java/org/jfree/chart/renderer/category/LevelRenderer.java,12,222,44.91
./src/main/java/org/jfree/chart/renderer/category/LineAndShapeRenderer.java,14,379,51.03
./src/main/java/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,11,268,45.64
./src/main/java/org/jfree/chart/renderer/category/ScatterRenderer.java,13,269,49.63
./src/main/java/org/jfree/chart/renderer/category/StackedAreaRenderer.java,12,284,35.16
./src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,11,216,37.57
./src/main/java/org/jfree/chart/renderer/category/StandardBarPainter.java,6,106,47.52
./src/main/java/org/jfree/chart/renderer/category/StatisticalBarRenderer.java,12,342,33.98
./src/main/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,11,269,36.85
